run,sample_name
SRR23091938,AMAZ12_016_1A42_S14
SRR23091937,AMAZ12_103_2A44_S31
SRR23091854,COCA33705_031_1B14_S11
SRR23091843,COCA33705_036_1B24_S16
SRR23091832,COCA33705_074_1C43_S5
SRR23091821,COCA33705_079_1C54_S10
SRR23091810,COCA33705_106_2A52_S17
SRR23091799,COCA33705_115_2B12_S27
SRR23091788,COCA33705_118_2B22_S29
SRR23091897,COCA33705_159_2C43_S22
SRR23091936,COCA33705_163_2C52_S26
SRR23091925,ELP37A_047_1B51_S11
SRR23091914,ELP37A_084_1C64_S15
SRR23091903,ELP37A_136_2B55_S31
SRR23091880,ELP37A_166_2C62_S29
SRR23091869,GU123V_010_1A25_S8
SRR23091858,GU123V_082_1C62_S13
SRR23091857,GU123V_090_2A21_S21
SRR23091856,GU123V_114_2B11_S26
SRR23091855,GU123V_168_2C64_S31
SRR23091853,GU195V_032_1B15_S12
SRR23091852,GU195V_110_2A62_S22
SRR23091851,GU257E_015_1A41_S13
SRR23091850,GU257E_017_1A43_S15
SRR23091849,GU257E_025_1A62_S6
SRR23091848,GU257E_050_1B54_S14
SRR23091847,GU257E_063_1C22_S11
SRR23091846,GU257E_104_2A45_S32
SRR23091845,GU257E_112_2A64_S24
SRR23091844,GU257E_133_2B52_S28
SRR23091842,GU257E_150_2C24_S29
SRR23091829,IMC105_044_1B43_S8
SRR23091828,IMC31_051_1B55_S15
SRR23091827,IMC31_080_1C55_S11
SRR23091826,IMC31_132_2B51_S27
SRR23091825,IMC31_162_2C51_S25
SRR23091824,IMC60_056_1B65_S4
SRR23091823,IMC60_137_2B61_S17
SRR23091822,KER1L_027_1A64_S8
SRR23091820,KER6_006_1A21_S5
SRR23091819,KER6_070_1C34_S1
SRR23091818,KER6_094_2A25_S24
SRR23091817,KER6_153_2C32_S19
SRR23091816,NA246_009_1A24_S7
SRR23091815,NA246_028_1A65_S9
SRR23091814,NA246_037_1B31_S1
SRR23091813,NA246_049_1B53_S13
SRR23091812,NA246_066_1C25_S14
SRR23091811,NA246_091_2A22_S22
SRR23091809,NA246_109_2A61_S21
SRR23091808,NA246_134_2B53_S29
SRR23091807,NA246_147_2C21_S26
SRR23091806,NA33_004_1A14_S3
SRR23091805,NA33_083_1C63_S14
SRR23091804,NA33_086_2A12_S18
SRR23091803,NA33_093_2A24_S23
SRR23091802,NA33_167_2C63_S30
SRR23091801,NA34_001_1A11_S1
SRR23091800,NA34_078_1C53_S9
SRR23091798,NA34_081_1C61_S12
SRR23091797,NA34_089_2A15_S20
SRR23091796,NA34_169_2C65_S32
SRR23091938,AMAZ12_016_1A42_S14
SRR23091794,NA70_038_1B32_S2
SRR23091793,NA70_059_1C13_S7
SRR23091792,NA70_125_2B34_S20
SRR23091791,NA70_144_2C13_S23
SRR23091790,NA710_005_1A15_S4
SRR23091789,NA710_013_1A33_S11
SRR23091787,NA710_046_1B45_S10
SRR23091786,NA710_053_1B62_S1
SRR23091785,NA710_085_2A11_S17
SRR23091784,NA710_097_2A33_S26
SRR23091783,NA710_127_2B41_S22
SRR23091782,NA710_140_2B64_S20
SRR23091781,NA807_007_1A22_S6
SRR23091780,NA807_052_1B61_S16
SRR23091779,NA807_054_1B63_S2
SRR23091898,NA807_062_1C21_S10
SRR23091896,NA807_139_2B63_S19
SRR23091895,NA807_141_2B65_S32
SRR23091894,NA807_151_2C25_S30
SRR23091893,OYA2B_033_1B21_S13
SRR23091892,OYA2B_068_1C32_S15
SRR23091891,OYA2B_102_2A43_S30
SRR23091890,OYA2B_121_2B25_S32
SRR23091889,OYA2B_155_2C34_S32
SRR23091888,PA107_019_1A45_S1
SRR23091886,PA107_030_1B13_S10
SRR23091935,PA107_061_1C15_S9
SRR23091934,PA107_065_1C24_S13
SRR23091933,PA107_100_2A41_S17
SRR23091932,PA107_116_2B13_S28
SRR23091931,PA107_129_2B43_S24
SRR23091930,PA107_142_2C11_S21
SRR23091929,PA107_148_2C22_S27
SRR23091928,PA13_073_1C42_S4
SRR23091926,PA16_011_1A31_S9
SRR23091926,PA16_021_1A53_S3
SRR23091924,PA16_039_1B33_S3
SRR23091923,PA16_041_1B35_S5
SRR23091922,PA16_057_1C11_S5
SRR23091921,PA16_099_2A35_S28
SRR23091920,PA16_107_2A53_S19
SRR23091919,PA16_122_2B31_S17
SRR23091918,PA16_124_2B33_S19
SRR23091917,PA16_146_2C15_S25
SRR23091916,PA16_160_2C44_S23
SRR23091915,PA279_126_2B35_S21
SRR23091913,PA299_018_1A44_S16
SRR23091912,PA299_043_1B42_S7
SRR23091911,PA299_101_2A42_S29
SRR23091910,PA299_130_2B44_S25
SRR23091909,PA81_020_1A51_S2
SRR23091908,PA81_077_1C51_S8
SRR23091907,PA81_108_2A55_S20
SRR23091906,PA81_165_2C55_S28
SRR23091905,PINA_024_1A61_S5
SRR23091904,PINA_040_1B34_S4
SRR23091902,PINA_055_1B64_S3
SRR23091901,PINA_060_1C14_S8
SRR23091900,PINA_072_1C41_S3
SRR23091899,PINA_113_2A65_S25
SRR23091887,PINA_123_2B32_S18
SRR23091885,PINA_138_2B62_S18
SRR23091884,PINA_143_2C12_S22
SRR23091883,PINA_161_2C45_S24
SRR23091882,Pound7_026_1A63_S7
SRR23091881,Pound7_045_1B44_S9
SRR23091879,Pound7_048_1B52_S12
SRR23091878,Pound7_064_1C23_S12
SRR23091877,Pound7_075_1C44_S6
SRR23091876,Pound7_111_2A63_S23
SRR23091875,Pound7_119_2B23_S30
SRR23091874,Pound7_128_2B42_S23
SRR23091873,Pound7_135_2B54_S30
SRR23091872,Pound7_149_2C23_S28
SRR23091871,Pound7_158_2C42_S21
SRR23091861,SPEC541_069_1C33_S16
SRR23091860,SPEC541_096_2A32_S16
SRR23091859,SPEC541_154_2C33_S31
